Date_Time,Day_Of_The_Week,Call_Volume,Calls_Dropped,Suspensions,Holiday,Campaign,Service_Outage,Agents_On_Duty,Svc_Level,Transferred_Calls_Percentage
1/1/2000 0:00,Saturday,109,37,NO,YES,NO,YES,18,92,57
1/1/2000 6:00,Saturday,110,35,NO,YES,NO,NO,18,95,60
1/1/2000 12:00,Saturday,105,48,NO,YES,NO,NO,18,84,61
1/1/2000 18:00,Saturday,101,29,NO,YES,NO,NO,18,81,55
1/2/2000 0:00,Sunday,16,4,NO,NO,NO,NO,16,93,57
1/2/2000 6:00,Sunday,323,60,NO,NO,NO,NO,15,86,55
1/2/2000 12:00,Sunday,396,37,NO,NO,NO,NO,15,94,56
1/2/2000 18:00,Sunday,175,32,NO,NO,NO,NO,15,85,54
1/3/2000 0:00,Monday,50,27,NO,NO,YES,NO,16,82,52
1/3/2000 6:00,Monday,677,44,NO,NO,YES,NO,18,93,50
1/3/2000 12:00,Monday,587,33,NO,NO,YES,NO,17,80,53
1/3/2000 18:00,Monday,672,29,NO,NO,YES,YES,18,84,55
1/4/2000 0:00,Tuesday,515,37,NO,NO,NO,YES,16,86,55
1/4/2000 6:00,Tuesday,500,50,NO,NO,NO,YES,16,85,52
1/4/2000 12:00,Tuesday,349,25,NO,NO,NO,NO,16,81,62
1/4/2000 18:00,Tuesday,164,33,NO,NO,NO,NO,17,87,62
1/5/2000 0:00,Wednesday,687,37,YES,NO,NO,YES,15,87,50
1/5/2000 6:00,Wednesday,559,54,YES,NO,NO,NO,17,90,56
1/5/2000 12:00,Wednesday,530,40,YES,NO,NO,NO,15,80,54
1/5/2000 18:00,Wednesday,503,45,YES,NO,NO,YES,15,95,57
1/6/2000 0:00,Thursday,19,33,NO,NO,NO,NO,15,82,65
1/6/2000 6:00,Thursday,659,28,NO,NO,NO,YES,18,90,62
1/6/2000 12:00,Thursday,382,60,NO,NO,NO,NO,17,95,53
1/6/2000 18:00,Thursday,160,27,NO,NO,NO,NO,16,86,54
1/7/2000 0:00,Friday,568,34,NO,NO,YES,YES,18,95,54
1/7/2000 6:00,Friday,631,60,NO,NO,YES,NO,16,90,64
1/7/2000 12:00,Friday,571,50,NO,NO,YES,NO,17,93,59
1/7/2000 18:00,Friday,556,47,NO,NO,YES,YES,17,80,63
1/8/2000 0:00,Saturday,17,60,NO,NO,NO,NO,16,82,55
1/8/2000 6:00,Saturday,345,26,NO,NO,NO,NO,16,80,65
1/8/2000 12:00,Saturday,383,34,NO,NO,NO,NO,15,93,53
1/8/2000 18:00,Saturday,171,38,NO,NO,NO,NO,18,80,57
